user,time_dt,start_time_dt,end_time_dt,resource_request_cpu,resource_request_memory,average_usage_cpu,average_usage_memory,maximum_usage_cpu,maximum_usage_memory,hour
jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,1970-01-01 00:00:00.000000,1970-01-04 23:30:00,1970-01-04 23:35:00,0.00566864013671875,0.0015621185302734375,0.0042572021484375,0.001316070556640625,0.012481689453125,0.0016536712646484375,1970-01-01 00:00:00
jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,1970-01-01 02:29:54.976877,1970-01-04 22:05:00,1970-01-04 22:10:00,0.00566864013671875,0.0015621185302734375,0.0002307891845703125,0.0007076263427734375,0.0009822845458984375,0.0007114410400390625,1970-01-01 02:00:00
jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,1970-01-01 02:36:16.509739,1970-01-04 22:05:00,1970-01-04 22:10:00,0.00566864013671875,0.0015621185302734375,0.0002307891845703125,0.0007076263427734375,0.0009822845458984375,0.0007114410400390625,1970-01-01 02:00:00
jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,1970-01-01 02:49:52.750740,1970-01-04 23:30:00,1970-01-04 23:35:00,0.00566864013671875,0.0015621185302734375,0.0042572021484375,0.001316070556640625,0.012481689453125,0.0016536712646484375,1970-01-01 02:00:00
jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,1970-01-01 02:51:18.297700,1970-01-04 23:30:00,1970-01-04 23:35:00,0.00566864013671875,0.0015621185302734375,0.0042572021484375,0.001316070556640625,0.012481689453125,0.0016536712646484375,1970-01-01 02:00:00
jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,1970-01-01 09:19:35.827859,1970-01-04 23:30:00,1970-01-04 23:35:00,0.00566864013671875,0.0015621185302734375,0.0042572021484375,0.001316070556640625,0.012481689453125,0.0016536712646484375,1970-01-01 09:00:00
jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,1970-01-01 14:26:10.665780,1970-01-04 23:30:00,1970-01-04 23:35:00,0.00566864013671875,0.0015621185302734375,0.0042572021484375,0.001316070556640625,0.012481689453125,0.0016536712646484375,1970-01-01 14:00:00
jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,1970-01-01 14:35:26.399552,1970-01-05 18:40:00,1970-01-05 18:45:00,0.0081024169921875,0.0014705657958984375,0.0094757080078125,0.0014286041259765625,0.0406494140625,0.0016155242919921875,1970-01-01 14:00:00
jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,1970-01-01 14:52:33.638564,1970-01-04 23:30:00,1970-01-04 23:35:00,0.00566864013671875,0.0015621185302734375,0.0042572021484375,0.001316070556640625,0.012481689453125,0.0016536712646484375,1970-01-01 14:00:00
jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,1970-01-01 15:28:17.618018,1970-01-04 23:30:00,1970-01-04 23:35:00,0.00566864013671875,0.0015621185302734375,0.0042572021484375,0.001316070556640625,0.012481689453125,0.0016536712646484375,1970-01-01 15:00:00
jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,1970-01-01 15:36:38.565882,1970-01-04 23:30:00,1970-01-04 23:35:00,0.00566864013671875,0.0015621185302734375,0.0042572021484375,0.001316070556640625,0.012481689453125,0.0016536712646484375,1970-01-01 15:00:00
jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,1970-01-01 15:39:29.535849,1970-01-04 23:30:00,1970-01-04 23:35:00,0.00566864013671875,0.0015621185302734375,0.0042572021484375,0.001316070556640625,0.012481689453125,0.0016536712646484375,1970-01-01 15:00:00
jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,1970-01-01 15:40:10.742200,1970-01-04 23:30:00,1970-01-04 23:35:00,0.00566864013671875,0.0015621185302734375,0.0042572021484375,0.001316070556640625,0.012481689453125,0.0016536712646484375,1970-01-01 15:00:00
jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,1970-01-01 15:40:10.742202,1970-01-04 22:05:00,1970-01-04 22:10:00,0.00566864013671875,0.0015621185302734375,0.0002307891845703125,0.0007076263427734375,0.0009822845458984375,0.0007114410400390625,1970-01-01 15:00:00
jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,1970-01-01 15:41:11.778556,1970-01-05 18:40:00,1970-01-05 18:45:00,0.0081024169921875,0.0014705657958984375,0.0094757080078125,0.0014286041259765625,0.0406494140625,0.0016155242919921875,1970-01-01 15:00:00
jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,1970-01-01 15:49:25.538518,1970-01-05 18:40:00,1970-01-05 18:45:00,0.0081024169921875,0.0014705657958984375,0.0094757080078125,0.0014286041259765625,0.0406494140625,0.0016155242919921875,1970-01-01 15:00:00
jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,1970-01-01 15:55:17.475050,1970-01-05 18:40:00,1970-01-05 18:45:00,0.0081024169921875,0.0014705657958984375,0.0094757080078125,0.0014286041259765625,0.0406494140625,0.0016155242919921875,1970-01-01 15:00:00
