user,time_dt,collection_id,collection_name,collection_logical_name,start_time_dt,end_time_dt,cpu_usage_distribution,tail_cpu_usage_distribution,priority,instance_index,event,failed,resource_request_cpu,resource_request_memory,average_usage_cpu,average_usage_memory,maximum_usage_cpu,maximum_usage_memory,hour
ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,1970-01-01 00:00:00.000000,261321454525,h6osjjHIMpr543HMmDYMy10wiLZIvxMLNEDHe07Wix4=,uXg7PS0QinS0hu2jPMkHebkDJpZMywmqm/pOwvdFE5s=,1970-01-04 23:00:00,1970-01-04 23:05:00,"[0.00013351 0.00014114 0.00014877 0.00015736 0.00016594 0.00017357
 0.00018883 0.0002079  0.0002346  0.00031948 0.00108528]","[0.00032997 0.00034142 0.00035191 0.00037098 0.00039005 0.0004406
 0.00048447 0.0005579  0.00061607]",0,11305,ENABLE,0,0.00566864013671875,0.00262451171875,0.000209808349609375,0.000698089599609375,0.001132965087890625,0.0006999969482421875,1970-01-01 00:00:00
ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,1970-01-01 00:20:04.269099,275444450369,Q09xPXEsCsFkN7VrsD1YQsX/bMUavURdsKzbJrDERG0=,JpnDNp7PNu0VgS7e15Z4eezBWdZd6iXYQGB6fdODnJs=,1970-01-04 23:55:00,1970-01-05 00:00:00,"[0.00333405 0.00667572 0.01538086 0.01989746 0.02346802 0.02572632
 0.02764893 0.03076172 0.03338623 0.03741455 0.04833984]","[0.03796387 0.03833008 0.03869629 0.0390625  0.03948975 0.04003906
 0.04125977 0.04315186 0.04571533]",0,2465,FAIL,1,0.0141754150390625,0.00390625,0.02435302734375,0.00128173828125,0.04833984375,0.002674102783203125,1970-01-01 00:00:00
ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,1970-01-01 00:21:08.301086,275444572542,8nMel5P6Hbohb4HkEtC7rr/XLbXh8gE5odYgwst4wEY=,c3chkYTIgOxBUHA2xWkTkVyPqkdB/bfAYXnKFjJbZlg=,1970-01-01 08:15:00,1970-01-01 08:20:00,"[0.00630188 0.00901794 0.01022339 0.01081848 0.01132202 0.01190186
 0.01234436 0.01283264 0.01341248 0.01426697 0.01831055]","[0.01438904 0.01455688 0.01469421 0.01481628 0.0149231  0.01522827
 0.0153656  0.01593018 0.01699829]",0,7952,FAIL,1,0.0097198486328125,0.0022125244140625,0.011749267578125,0.0018901824951171875,0.023834228515625,0.001941680908203125,1970-01-01 00:00:00
ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,1970-01-01 00:56:04.361849,275444572542,8nMel5P6Hbohb4HkEtC7rr/XLbXh8gE5odYgwst4wEY=,c3chkYTIgOxBUHA2xWkTkVyPqkdB/bfAYXnKFjJbZlg=,1970-01-01 01:45:00,1970-01-01 01:50:00,"[0.00395203 0.00660706 0.00693512 0.00717163 0.00735474 0.00750732
 0.00766754 0.00784302 0.0080719  0.00848389 0.01292419]","[0.00854492 0.00862122 0.00871277 0.00907898 0.0092926  0.01025391
 0.01066589 0.01115417 0.01202393]",0,5111,ENABLE,0,0.0097198486328125,0.0022125244140625,0.00762176513671875,0.0015697479248046875,0.0144500732421875,0.0016632080078125,1970-01-01 00:00:00
ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,1970-01-01 00:56:04.361851,275444572542,8nMel5P6Hbohb4HkEtC7rr/XLbXh8gE5odYgwst4wEY=,c3chkYTIgOxBUHA2xWkTkVyPqkdB/bfAYXnKFjJbZlg=,1970-01-01 08:15:00,1970-01-01 08:20:00,"[0.00630188 0.00901794 0.01022339 0.01081848 0.01132202 0.01190186
 0.01234436 0.01283264 0.01341248 0.01426697 0.01831055]","[0.01438904 0.01455688 0.01469421 0.01481628 0.0149231  0.01522827
 0.0153656  0.01593018 0.01699829]",0,5111,FAIL,1,0.0097198486328125,0.0022125244140625,0.011749267578125,0.0018901824951171875,0.023834228515625,0.001941680908203125,1970-01-01 00:00:00
ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,1970-01-01 01:39:58.440703,275444572542,8nMel5P6Hbohb4HkEtC7rr/XLbXh8gE5odYgwst4wEY=,c3chkYTIgOxBUHA2xWkTkVyPqkdB/bfAYXnKFjJbZlg=,1970-01-01 08:15:00,1970-01-01 08:20:00,"[0.00630188 0.00901794 0.01022339 0.01081848 0.01132202 0.01190186
 0.01234436 0.01283264 0.01341248 0.01426697 0.01831055]","[0.01438904 0.01455688 0.01469421 0.01481628 0.0149231  0.01522827
 0.0153656  0.01593018 0.01699829]",0,8543,FAIL,1,0.0097198486328125,0.0022125244140625,0.011749267578125,0.0018901824951171875,0.023834228515625,0.001941680908203125,1970-01-01 01:00:00
ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,1970-01-01 02:18:39.618781,275444572542,8nMel5P6Hbohb4HkEtC7rr/XLbXh8gE5odYgwst4wEY=,c3chkYTIgOxBUHA2xWkTkVyPqkdB/bfAYXnKFjJbZlg=,1970-01-01 08:15:00,1970-01-01 08:20:00,"[0.00630188 0.00901794 0.01022339 0.01081848 0.01132202 0.01190186
 0.01234436 0.01283264 0.01341248 0.01426697 0.01831055]","[0.01438904 0.01455688 0.01469421 0.01481628 0.0149231  0.01522827
 0.0153656  0.01593018 0.01699829]",0,250,FAIL,1,0.0097198486328125,0.0022125244140625,0.011749267578125,0.0018901824951171875,0.023834228515625,0.001941680908203125,1970-01-01 02:00:00
ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,1970-01-01 02:39:18.992634,275444572542,8nMel5P6Hbohb4HkEtC7rr/XLbXh8gE5odYgwst4wEY=,c3chkYTIgOxBUHA2xWkTkVyPqkdB/bfAYXnKFjJbZlg=,1970-01-01 01:45:00,1970-01-01 01:50:00,"[0.00395203 0.00660706 0.00693512 0.00717163 0.00735474 0.00750732
 0.00766754 0.00784302 0.0080719  0.00848389 0.01292419]","[0.00854492 0.00862122 0.00871277 0.00907898 0.0092926  0.01025391
 0.01066589 0.01115417 0.01202393]",0,7857,ENABLE,0,0.0097198486328125,0.0022125244140625,0.00762176513671875,0.0015697479248046875,0.0144500732421875,0.0016632080078125,1970-01-01 02:00:00
ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,1970-01-01 03:02:13.902371,275444450369,Q09xPXEsCsFkN7VrsD1YQsX/bMUavURdsKzbJrDERG0=,JpnDNp7PNu0VgS7e15Z4eezBWdZd6iXYQGB6fdODnJs=,1970-01-04 23:55:00,1970-01-05 00:00:00,"[0.00333405 0.00667572 0.01538086 0.01989746 0.02346802 0.02572632
 0.02764893 0.03076172 0.03338623 0.03741455 0.04833984]","[0.03796387 0.03833008 0.03869629 0.0390625  0.03948975 0.04003906
 0.04125977 0.04315186 0.04571533]",0,2557,FAIL,1,0.0141754150390625,0.00390625,0.02435302734375,0.00128173828125,0.04833984375,0.002674102783203125,1970-01-01 03:00:00
ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,1970-01-01 05:32:32.399071,275444450369,Q09xPXEsCsFkN7VrsD1YQsX/bMUavURdsKzbJrDERG0=,JpnDNp7PNu0VgS7e15Z4eezBWdZd6iXYQGB6fdODnJs=,1970-01-04 23:55:00,1970-01-05 00:00:00,"[0.00333405 0.00667572 0.01538086 0.01989746 0.02346802 0.02572632
 0.02764893 0.03076172 0.03338623 0.03741455 0.04833984]","[0.03796387 0.03833008 0.03869629 0.0390625  0.03948975 0.04003906
 0.04125977 0.04315186 0.04571533]",0,1773,FAIL,1,0.0141754150390625,0.00390625,0.02435302734375,0.00128173828125,0.04833984375,0.002674102783203125,1970-01-01 05:00:00
ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,1970-01-01 05:33:20.929550,275444450369,Q09xPXEsCsFkN7VrsD1YQsX/bMUavURdsKzbJrDERG0=,JpnDNp7PNu0VgS7e15Z4eezBWdZd6iXYQGB6fdODnJs=,1970-01-04 23:55:00,1970-01-05 00:00:00,"[0.00333405 0.00667572 0.01538086 0.01989746 0.02346802 0.02572632
 0.02764893 0.03076172 0.03338623 0.03741455 0.04833984]","[0.03796387 0.03833008 0.03869629 0.0390625  0.03948975 0.04003906
 0.04125977 0.04315186 0.04571533]",0,1741,FAIL,1,0.0141754150390625,0.00390625,0.02435302734375,0.00128173828125,0.04833984375,0.002674102783203125,1970-01-01 05:00:00
ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,1970-01-01 15:57:24.823801,275444572542,8nMel5P6Hbohb4HkEtC7rr/XLbXh8gE5odYgwst4wEY=,c3chkYTIgOxBUHA2xWkTkVyPqkdB/bfAYXnKFjJbZlg=,1970-01-01 08:15:00,1970-01-01 08:20:00,"[0.00630188 0.00901794 0.01022339 0.01081848 0.01132202 0.01190186
 0.01234436 0.01283264 0.01341248 0.01426697 0.01831055]","[0.01438904 0.01455688 0.01469421 0.01481628 0.0149231  0.01522827
 0.0153656  0.01593018 0.01699829]",0,2444,FAIL,1,0.0097198486328125,0.0022125244140625,0.011749267578125,0.0018901824951171875,0.023834228515625,0.001941680908203125,1970-01-01 15:00:00
ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,1970-01-01 17:07:16.274090,275444572542,8nMel5P6Hbohb4HkEtC7rr/XLbXh8gE5odYgwst4wEY=,c3chkYTIgOxBUHA2xWkTkVyPqkdB/bfAYXnKFjJbZlg=,1970-01-01 08:15:00,1970-01-01 08:20:00,"[0.00630188 0.00901794 0.01022339 0.01081848 0.01132202 0.01190186
 0.01234436 0.01283264 0.01341248 0.01426697 0.01831055]","[0.01438904 0.01455688 0.01469421 0.01481628 0.0149231  0.01522827
 0.0153656  0.01593018 0.01699829]",0,1056,FAIL,1,0.0097198486328125,0.0022125244140625,0.011749267578125,0.0018901824951171875,0.023834228515625,0.001941680908203125,1970-01-01 17:00:00
ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,1970-01-01 17:32:28.287922,275444572542,8nMel5P6Hbohb4HkEtC7rr/XLbXh8gE5odYgwst4wEY=,c3chkYTIgOxBUHA2xWkTkVyPqkdB/bfAYXnKFjJbZlg=,1970-01-01 08:15:00,1970-01-01 08:20:00,"[0.00630188 0.00901794 0.01022339 0.01081848 0.01132202 0.01190186
 0.01234436 0.01283264 0.01341248 0.01426697 0.01831055]","[0.01438904 0.01455688 0.01469421 0.01481628 0.0149231  0.01522827
 0.0153656  0.01593018 0.01699829]",0,1376,FAIL,1,0.0097198486328125,0.0022125244140625,0.011749267578125,0.0018901824951171875,0.023834228515625,0.001941680908203125,1970-01-01 17:00:00
